Дата,Средняя
02/01/2019,16.1
03/01/2019,17.8
04/01/2019,16.9
05/01/2019,18.2
06/01/2019,15.0
07/01/2019,14.6
08/01/2019,15.4
09/01/2019,15.9
10/01/2019,16.9
11/01/2019,17.0
12/01/2019,19.2
13/01/2019,18.9
14/01/2019,15.6
15/01/2019,15.3
16/01/2019,16.5
17/01/2019,17.2
18/01/2019,19.1
19/01/2019,18.7
20/01/2019,19.6
21/01/2019,17.5
22/01/2019,15.5
23/01/2019,16.6
24/01/2019,16.1
25/01/2019,14.8
26/01/2019,14.2
27/01/2019,14.0
28/01/2019,13.9
29/01/2019,13.9
30/01/2019,16.3
31/01/2019,16.6
01/02/2019,14.0
02/02/2019,13.8
03/02/2019,15.8
04/02/2019,18.8
05/02/2019,19.3
06/02/2019,19.6
07/02/2019,15.5
08/02/2019,13.1
09/02/2019,14.3
10/02/2019,16.0
11/02/2019,18.7
12/02/2019,20.3
13/02/2019,23.9
14/02/2019,19.8
15/02/2019,19.7
16/02/2019,18.0
17/02/2019,18.3
18/02/2019,22.5
19/02/2019,23.2
20/02/2019,22.7
21/02/2019,21.6
22/02/2019,19.3
23/02/2019,19.2
24/02/2019,21.0
25/02/2019,19.9
26/02/2019,19.2
27/02/2019,18.8
28/02/2019,18.6
01/03/2019,21.9
02/03/2019,22.6
03/03/2019,21.9
04/03/2019,20.5
05/03/2019,20.4
06/03/2019,20.8
07/03/2019,22.7
08/03/2019,24.2
09/03/2019,22.4
10/03/2019,23.4
11/03/2019,22.2
12/03/2019,22.8
13/03/2019,21.0
14/03/2019,23.0
15/03/2019,22.4
16/03/2019,23.3
17/03/2019,23.5
18/03/2019,24.4
19/03/2019,27.1
20/03/2019,25.3
21/03/2019,26.2
22/03/2019,26.3
23/03/2019,26.9
24/03/2019,28.4
25/03/2019,27.8
26/03/2019,26.6
27/03/2019,28.8
28/03/2019,30.8
29/03/2019,31.6
30/03/2019,33.3
31/03/2019,31.7
01/04/2019,29.8
02/04/2019,30.3
03/04/2019,31.0
04/04/2019,33.6
06/04/2019,33.5
07/04/2019,33.8
08/04/2019,33.5
09/04/2019,34.4
10/04/2019,34.2
11/04/2019,34.3
12/04/2019,33.4
13/04/2019,33.6
